key,place_name,admin_name1,latitude,longitude,accuracy
IN/562144,Jangamkote,Karnataka,13.2658,77.8483,4
IN/562145,Chandpura,Karnataka,13.2658,77.8483,
IN/562149,Bagal,Karnataka,13.2658,77.8483,
IN/562151,Chamarajasagar,Karnataka,13.05,77.85,
IN/562154,Jadigenahalli,Karnataka,13.05,77.85,4
IN/563115,B E M L Nagar (Kgf),Karnataka,13.2,78.0167,
IN/563117,Champion Reefs,Karnataka,13.2,78.0167,
IN/563119,V O C Nagar,Karnataka,13.2,78.0167,
IN/563120,Oorgaum East,Karnataka,13.2,78.0167,
IN/563121,Oorgaumpet,Karnataka,13.2,78.0167,
IN/563126,Dalasnur,Karnataka,13.2,78.0167,
IN/563128,Kaiwara,Karnataka,13.2,78.0167,
IN/563131,Palya,Karnataka,13.2,78.0167,
IN/563136,Tayalur,Karnataka,13.2,78.0167,
IN/563137,Tekal,Karnataka,13.2,78.0167,
IN/563138,Yeldur,Karnataka,13.2,78.0167,
IN/563157,Vemgal,Karnataka,13.2,78.0167,4
IN/565277,Pahwadi,Karnataka,13.301,77.5465,
IN/570001,K R Mohalla,Karnataka,13.3666,76.171,
IN/570004,Lakshmipuram,Karnataka,13.3666,76.171,
IN/570006,University Campus,Karnataka,13.3666,76.171,
IN/570007,Rajendranagar,Karnataka,13.3666,76.171,
IN/570008,Vidyaranya Puram,Karnataka,13.3666,76.171,
IN/570009,Jayanagar,Karnataka,13.3666,76.171,
IN/570010,Ittigegud,Karnataka,13.3666,76.171,
IN/570011,Administrative Trg Institute,Karnataka,13.3666,76.171,
IN/570013,Food Technology,Karnataka,13.3666,76.171,
IN/570014,Jayanagar Extn,Karnataka,13.3666,76.171,
IN/570018,Chaimundi Betta,Karnataka,13.3666,76.171,
IN/570019,Udayagiri Extn,Karnataka,13.3666,76.171,
IN/570020,Yadavagiri,Karnataka,13.3666,76.171,
IN/570024,M.R.Mohalla,Karnataka,13.3666,76.171,
IN/571110,Gargeshwari,Karnataka,12.0889,76.7911,
IN/571114,H D Kote,Karnataka,12.0889,76.7911,
IN/571117,Kagalyadi,Karnataka,12.0889,76.7911,
IN/571119,Tagadur,Karnataka,12.0889,76.7911,4
IN/571120,Old Sosale,Karnataka,12.2381,76.7278,
IN/571122,Talkod,Karnataka,12.2381,76.7278,
IN/571124,T Narsipur,Karnataka,12.2381,76.7278,
IN/571125,Hamapapura (H D),Karnataka,12.2381,76.7278,
IN/571138,Makode,Karnataka,12.2381,76.7278,
IN/571143,Varakodu,Karnataka,12.3872,76.6644,
IN/571147,Venkatainachatra,Karnataka,12.3872,76.6644,
IN/571149,Naganahalli,Karnataka,12.3872,76.6644,4
IN/571155,Nagavalli (Njd),Karnataka,12.2381,76.7278,
IN/571166,Kabini Colony,Karnataka,12.2381,76.7278,
IN/571167,Devanur (Nanjangud),Karnataka,12.2381,76.7278,
IN/571172,Ramanahalli,Karnataka,12.2381,76.7278,
IN/571174,Ganaganur,Karnataka,12.2381,76.7278,
IN/571178,Chandakavadi,Karnataka,12.2381,76.7278,
IN/571201,Madikeri Fort,Karnataka,12.9044,76.3917,
IN/571218,Virajpet,Karnataka,12.9044,76.3917,
IN/571220,Devarapura,Karnataka,12.9044,76.3917,
IN/571221,Makut,Karnataka,12.9044,76.3917,
IN/571222,Kaikeri,Karnataka,12.9044,76.3917,
IN/571247,Bagamandala,Karnataka,12.9044,76.3917,
IN/571251,Madapura,Karnataka,12.9044,76.3917,
IN/571258,Nagarhole,Karnataka,12.9044,76.3917,
IN/571266,Badaga,Karnataka,12.9044,76.3917,
IN/571269,Uluguli,Karnataka,12.9044,76.3917,
IN/571272,Channarayapatna,Karnataka,12.9044,76.3917,4
IN/571273,Badagabanangala,Karnataka,12.9044,76.3917,
IN/571311,Kadakola,Karnataka,12.1944,76.6631,4
IN/571313,Ramasamudra,Karnataka,12.1944,76.6631,
IN/571319,Kabbahali,Karnataka,12.1944,76.6631,
IN/571321,Udbur,Karnataka,12.129,76.7844,
IN/571325,Tandavapura,Karnataka,12.129,76.7844,
IN/571326,Vidya Peetha,Karnataka,12.129,76.7844,
IN/571327,Badanaguppe,Karnataka,12.129,76.7844,
IN/571329,Udigala,Karnataka,12.129,76.7844,
IN/571333,Ummattur,Karnataka,12.0636,76.9058,4
IN/571334,Hadinaru,Karnataka,12.0636,76.9058,
IN/571335,Yedakola,Karnataka,12.0636,76.9058,
IN/571339,Ramapura (Njd),Karnataka,12.0636,76.9058,
IN/571404,Acetate Town,Karnataka,12.2332,76.8562,
IN/571405,V C Farm,Karnataka,12.2332,76.8562,
IN/571406,Thaggahalli,Karnataka,12.2332,76.8562,
IN/571421,Halagur,Karnataka,11.7667,76.5667,
IN/571426,Old Town,Karnataka,11.7667,76.5667,
IN/571428,Maddur,Karnataka,11.7667,76.5667,4
IN/571429,Maddur R S,Karnataka,11.7667,76.5667,
IN/571432,Nagamangala,Karnataka,12.8156,76.7575,4
IN/571434,Pandavapura,Karnataka,12.5006,76.6733,4
IN/571435,Pandavapura R S,Karnataka,12.6581,76.7154,
IN/571441,Yelandur,Karnataka,12.0667,77.0333,4
IN/571444,Ramapuram Ghat,Karnataka,12.0667,77.0333,
IN/571445,Devalapura (Mys),Karnataka,12.0667,77.0333,
IN/571456,Nagarakere,Karnataka,12.2332,76.8562,
IN/571458,Ragibommanhalli,Karnataka,12.2332,76.8562,
IN/571460,Thaggahalli,Karnataka,12.2332,76.8562,
IN/571461,Agasanpura,Karnataka,12.2332,76.8562,
IN/571472,Gandhal,Karnataka,12.0167,77.25,
IN/571473,Ummadahalli,Karnataka,12.0167,77.25,
IN/571477,Sagglam,Karnataka,12.0167,77.25,
IN/571479,Lokkanahalli,Karnataka,12.0167,77.25,4
IN/571484,Palaiyam,Karnataka,12.2332,76.8562,
IN/571485,Agara,Karnataka,12.2332,76.8562,
IN/571488,Tellanur,Karnataka,12.2332,76.8562,
IN/571490,Mahadeshwara Betta,Karnataka,12.2332,76.8562,
IN/571495,Maddur (Yelandur),Karnataka,12.2332,76.8562,
IN/571501,Channapatna H O,Karnataka,12.7167,77.3,
IN/571511,Ramanagaram,Karnataka,12.7167,77.3,4
IN/571604,Saligram (Mys),Karnataka,12.3201,76.8179,
IN/571614,Haleyur,Karnataka,12.3201,76.8179,
IN/571801,Madhuvanahalli,Karnataka,12.3201,76.8179,
IN/571803,Parasegowdana Palya,Karnataka,12.3201,76.8179,
IN/571805,Nagoonahalli,Karnataka,12.3201,76.8179,
IN/571809,Mahadevapura,Karnataka,12.3201,76.8179,
IN/572101,Extension Tumkur,Karnataka,13.6417,76.9293,
IN/572112,Badavanahalli,Karnataka,13.6811,77.0658,4
IN/572116,Channakesavapuda,Karnataka,13.6811,77.0658,
IN/572124,Itakadibbanahalli,Karnataka,13.6417,76.9293,
IN/572130,K R S Agrahara Extn,Karnataka,13.6417,76.9293,
IN/572132,Madhugiri,Karnataka,13.6606,77.2092,
IN/572134,Nagasandra (Tmr),Karnataka,13.6417,76.9293,
IN/572135,Pattanaikanahalli,Karnataka,13.6417,76.9293,
IN/572136,Palavalli,Karnataka,13.6417,76.9293,
IN/572139,Tavarekere (Tmr),Karnataka,13.6417,76.9293,
IN/572140,Urdigere,Karnataka,13.3406,77.2303,4
IN/572141,Y N Koskote,Karnataka,13.3406,77.2303,
IN/572142,Yediyur,Karnataka,13.3406,77.2303,
IN/572145,Nagavalli (Tmr),Karnataka,13.3406,77.2303,
IN/572149,Kadagathur,Karnataka,13.3406,77.2303,
IN/572150,Halenahalli,Karnataka,13.6417,76.9293,
IN/572152,Madalur,Karnataka,13.6417,76.9293,
IN/572154,Teetha,Karnataka,13.6417,76.9293,
IN/572159,Baddur Farm,Karnataka,13.6417,76.9293,
IN/572160,Yelanadu,Karnataka,13.9033,76.4917,
IN/572161,Vanivilasapura,Karnataka,13.9033,76.4917,4
IN/572162,Yedavanne,Karnataka,13.9033,76.4917,
IN/572164,Rampura (Tmr),Karnataka,13.9033,76.4917,
IN/572169,Nadur,Karnataka,13.9033,76.4917,
IN/572171,Ujjine,Karnataka,13.6417,76.9293,
IN/572173,Iirkasandra,Karnataka,13.6417,76.9293,
IN/572201,Gandhi Nagar Tiptur,Karnataka,13.5225,76.7483,
IN/572202,K R Extn Tiptur,Karnataka,13.5225,76.7483,
IN/572213,Chandrasekharapura,Karnataka,13.5225,76.7483,
IN/572215,Dandinashivara,Karnataka,13.5225,76.7483,
IN/572219,Kabada (Tumkur),Karnataka,13.5225,76.7483,
IN/572225,Sampige (Tmr),Karnataka,13.5225,76.7483,
IN/572232,Yelanadu (Tmr),Karnataka,13.5225,76.7483,
IN/572234,Echanur,Karnataka,13.5225,76.7483,
IN/572239,Hagalvadi,Karnataka,13.5225,76.7483,4
IN/572240,Halepalya,Karnataka,13.5225,76.7483,
IN/573111,Bagur (Hassan),Karnataka,13.1531,76.3067,
IN/573116,Channarayapatna (Hassan),Karnataka,13.1531,76.3067,
IN/573119,Gandasi,Karnataka,13.1531,76.3067,4
IN/573121,Halebeedu,Karnataka,13.3033,76.0597,
IN/573125,Javagal,Karnataka,13.3033,76.0597,4
IN/573126,Jayachmrajpura,Karnataka,13.3033,76.0597,
IN/573127,Kadamane,Karnataka,13.3033,76.0597,
IN/573129,K Hoskote,Karnataka,13.3033,76.0597,
IN/573132,Panchanahalli,Karnataka,12.964,76.0939,
IN/573133,Ramnathapura,Karnataka,12.964,76.0939,
IN/573134,Saklashpur,Karnataka,12.964,76.0939,
IN/573140,Agrahara Belaguli,Karnataka,12.6908,76.0842,
IN/573146,Magge,Karnataka,12.6908,76.0842,4
IN/573151,Jambur,Karnataka,12.5167,75.8,4
IN/573152,Rajansiriyur,Karnataka,12.5167,75.8,
IN/573157,Udavara,Karnataka,12.5167,75.8,
IN/573160,Aggunda,Karnataka,13.1561,76.2189,
IN/573162,Bageshapura,Karnataka,13.1561,76.2189,4
IN/573201,Gandhi Bazar,Karnataka,12.8696,76.1717,
IN/573210,Halli Mysore,Karnataka,12.6558,76.26,4
IN/573216,Hagare,Karnataka,12.8696,76.1717,
IN/573218,Palya,Karnataka,12.8696,76.1717,
IN/573219,Salagame,Karnataka,13.0833,76.0833,4
IN/573221,Bage,Karnataka,12.8696,76.1717,
IN/574101,Ajekar,Karnataka,12.8,74.85,
IN/574102,Bailur (Puttur),Karnataka,12.8,74.85,
IN/574106,Uliargoli,Karnataka,12.8,74.85,
IN/574111,Padubidri,Karnataka,12.8,74.85,
IN/574112,Palimar,Karnataka,12.8,74.85,
IN/574115,Ullargoli,Karnataka,12.8,74.85,
IN/574117,Uchila Bada,Karnataka,12.8,74.85,
IN/574118,Udyavara,Karnataka,12.8,74.85,
IN/574122,Bajegoli,Karnataka,12.8,74.85,
IN/574123,Mala,Karnataka,12.8,74.85,
IN/574128,Irvathur,Karnataka,12.8,74.85,
IN/574131,Admar,Karnataka,12.8,74.85,
IN/574138,Nandikur,Karnataka,12.8,74.85,
IN/574140,Paniyur,Karnataka,12.8,74.85,
IN/574141,Aikala,Karnataka,12.8,74.85,
IN/574143,Farangipet,Karnataka,12.8,74.85,
IN/574144,Ganjimutt,Karnataka,12.8,74.85,
IN/574146,Haleangady,Karnataka,12.8,74.85,
IN/574159,Ullal,Karnataka,12.8,74.85,4
IN/574160,Derlakatte,Karnataka,12.8,74.85,
IN/574165,Malalipanchayat,Karnataka,12.8,74.85,
IN/574178,Nadugallu,Karnataka,12.8,74.85,
IN/574184,Talapady,Karnataka,12.8,74.85,
IN/574192,Jeepinamogru,Karnataka,12.8,74.85,
IN/574195,Panjinadka,Karnataka,12.8,74.85,
IN/574202,Darbe,Karnataka,14.2467,76.2933,
IN/574220,Kabaka,Karnataka,14.2467,76.2933,
IN/574221,Kadaba (Puttur),Karnataka,14.2467,76.2933,
IN/574224,Madanthyar,Karnataka,14.2467,76.2933,
IN/574231,Pane Mangalore,Karnataka,12.6833,75.4833,
IN/574232,Panja,Karnataka,12.6833,75.4833,4
IN/574234,Sampaje,Karnataka,12.6833,75.4833,
IN/574240,Ujire,Karnataka,16.1917,77.8333,
IN/574241,Uppinangady,Karnataka,16.1917,77.8333,
IN/574242,Venur,Karnataka,13.0167,75.1333,4
IN/574244,Palli,Karnataka,19.3667,80.5333,4
IN/574245,Aiyarnad,Karnataka,16.1917,77.8333,
IN/574246,Ajjavara,Karnataka,16.1917,77.8333,
IN/574252,Idikiku,Karnataka,14.2467,76.2933,
IN/574255,Jalsur,Karnataka,14.2467,76.2933,
IN/574259,Panjee,Karnataka,14.2467,76.2933,
IN/574260,Adyandka,Karnataka,14.2467,76.2933,
IN/574275,Sampige (D K),Karnataka,13.1167,74.9167,
IN/574276,Veerakamba,Karnataka,13.1167,74.9167,
IN/574277,Kadandale,Karnataka,13.1167,74.9167,4
IN/574278,Palaoka,Karnataka,13.1167,74.9167,
IN/574283,Saji Pamunnur,Karnataka,14.2467,76.2933,
IN/574286,Bajathur,Karnataka,14.2467,76.2933,
IN/574289,Paramogru,Karnataka,14.2467,76.2933,
IN/574290,Charmadi,Karnataka,13.05,75.4,4
IN/574294,Laila,Karnataka,13.05,75.4,
IN/574295,Machina,Karnataka,13.05,75.4,
IN/574296,Panakaje,Karnataka,13.05,75.4,
IN/574301,Ira,Karnataka,14.0056,76.0528,
IN/574302,Kadeshwalya,Karnataka,14.0056,76.0528,
IN/574304,Iianthila,Karnataka,14.0056,76.0528,
IN/574315,Nadugallu,Karnataka,14.0056,76.0528,
IN/574318,Madavu,Karnataka,14.0056,76.0528,
IN/574319,Sajipamudu,Karnataka,14.0056,76.0528,
IN/574334,Badagannur,Karnataka,14.0056,76.0528,
IN/574501,Idu,Karnataka,14.0056,76.0528,
IN/574502,Nallur,Karnataka,14.1,75.8833,
IN/574507,Bajal,Karnataka,14.0056,76.0528,
IN/574508,Vamanjoor,Karnataka,14.0056,76.0528,
IN/575001,Car Street,Karnataka,13.3666,76.171,
IN/575002,Nagori,Karnataka,13.3666,76.171,
IN/575003,Gandhi Nagar,Karnataka,13.3666,76.171,
IN/575004,Kadrihills,Karnataka,13.3666,76.171,
IN/575007,Padil,Karnataka,13.3666,76.171,
IN/575009,Adyar,Karnataka,13.3666,76.171,
IN/575010,Panambur,Karnataka,13.3666,76.171,
IN/575011,Baikampady,Karnataka,13.3666,76.171,
IN/576101,Udupi H O,Karnataka,13.25,74.75,
IN/576103,Adi Udupi,Karnataka,13.25,74.75,
IN/576104,Kadekar,Karnataka,13.25,74.75,
IN/576122,Pangala,Karnataka,13.25,74.75,4
IN/576123,Parkala,Karnataka,13.25,74.75,
IN/576126,Nandalike,Karnataka,13.25,74.75,
IN/576128,Sacherigudde,Karnataka,13.25,74.75,
IN/576135,Patla,Karnataka,13.25,74.75,
IN/576136,Badaga Bettu,Karnataka,13.25,74.75,
IN/576138,Innanje,Karnataka,13.25,74.75,
